Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

1987
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 40 -280 -279 -132   20   84  112  116  101  102  113  111  129
 45 -248 -243 -239  -85   50   95  106   81   81  109  100  117
 50 -190 -187 -208 -199  -10   53  116   79   65   83   72   90
 60  -93  -69  -85 -130 -135  -36   98   46   17   20  -28   30
 70  -65  -05  -21  -49 -114  -47   47   35   16   40   23  -14
 80  -56  -52  -14  -55 -107  -89  -07   09   31   73   18  -43
 90  -68 -204  -40 -107 -108 -128  -56  -24   50   62  -44  -57
100  -81 -320  -97 -102  -98 -148  -97  -97   25  -23 -118 -153

2009
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -320 -380 -337 -340 -342 -318 -182 -110 -218 -172  -47 -104
 12 -304 -328 -321 -322 -331 -355 -375 -284 -356 -371 -187 -207
 15 -251 -248 -260 -300 -330 -345 -371 -366 -369 -391 -373 -375
 20  -49   14  -50 -198 -273 -311 -328 -335 -347 -353 -328 -335
 25   77  116   90   26 -154 -259 -302 -307 -304 -308 -300 -295
 30  119  155  118  103   32 -134 -227 -218 -220 -199 -252 -259
 35  138  165  118  121  111   80  -66  -69  -59  -61 -149 -169
 40  138  164  116  134  143   76   27   21   48   28  -45  -53
 45  131  151  111  132  142   96   85   77   85   80   51   43
 50  118  149   98  134  145  100   98   82  112  105   83  104
 60   52   78   61  103  128  107  101   65  101   96   91  112
 70  -10   44   36   67   91   95   82   58   69   94   66   64
 80  -96   24   03   08   22   41   52   34   38   69   46   10
 90  -78  -43  -03  -29  -38  -15   30  -61   08   17   21  -42
100  -87 -117  -30  -56  -65  -73  -31 -164 -104  -66  -23  -52

2010
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -171 -282 -259 -230   52  128  140  150  149  163  144   59
 12 -280 -392 -370 -348  -31  123  136  157  148  155  161    8
 15 -362 -347 -332 -342 -236   59  140  150  153  140  147   39
